epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,6260.32,0.82609,0.39192,0.906,0.91657,0.89208,0.92845,0.59752,1.19323,0.50373,1.13907,0.006238,0.006238,0.006238
97,6325.52,0.82559,0.38941,0.90852,0.9218,0.90487,0.93534,0.60071,1.19381,0.5053,1.14065,0.0061984,0.0061984,0.0061984
98,6389.75,0.82173,0.38977,0.90723,0.92085,0.9018,0.93129,0.60312,1.18797,0.50069,1.13491,0.0061588,0.0061588,0.0061588
99,6454.29,0.81844,0.38709,0.90431,0.91298,0.90313,0.93132,0.5986,1.19958,0.50414,1.14278,0.0061192,0.0061192,0.0061192
100,6518.61,0.81339,0.38375,0.90198,0.90841,0.90009,0.93208,0.60441,1.19583,0.50772,1.14564,0.0060796,0.0060796,0.0060796
101,6582.71,0.80696,0.38486,0.9016,0.91467,0.90336,0.93114,0.60224,1.19337,0.50355,1.14303,0.00604,0.00604,0.00604
102,6647.1,0.80081,0.38046,0.899,0.92166,0.90042,0.93384,0.59907,1.19917,0.50139,1.14649,0.0060004,0.0060004,0.0060004
103,6711.89,0.79232,0.37688,0.8993,0.91704,0.90494,0.9339,0.59833,1.19777,0.50181,1.14661,0.0059608,0.0059608,0.0059608
104,6776.23,0.79243,0.37753,0.89723,0.91587,0.90699,0.93425,0.60079,1.2008,0.4985,1.15303,0.0059212,0.0059212,0.0059212
105,6841.07,0.79193,0.37606,0.89562,0.91667,0.90388,0.93402,0.60242,1.19576,0.49941,1.14728,0.0058816,0.0058816,0.0058816
106,6905.53,0.78626,0.37512,0.89729,0.91259,0.89997,0.93103,0.59893,1.19383,0.50059,1.14565,0.005842,0.005842,0.005842
107,6969.75,0.78378,0.37444,0.89618,0.90962,0.89974,0.93089,0.6022,1.19724,0.50341,1.15102,0.0058024,0.0058024,0.0058024
108,7034.15,0.77737,0.37288,0.89076,0.92004,0.89484,0.92732,0.59677,1.19841,0.50509,1.15281,0.0057628,0.0057628,0.0057628
109,7099.14,0.77973,0.37267,0.89547,0.91721,0.8995,0.93303,0.60181,1.1954,0.49981,1.15195,0.0057232,0.0057232,0.0057232
110,7163.17,0.76737,0.36756,0.89063,0.90958,0.90458,0.93248,0.60066,1.19373,0.4992,1.15169,0.0056836,0.0056836,0.0056836
111,7227.52,0.76487,0.36807,0.89158,0.91357,0.89707,0.93302,0.60237,1.19436,0.49931,1.1488,0.005644,0.005644,0.005644
112,7291.49,0.76669,0.36734,0.88987,0.89991,0.91075,0.93378,0.60226,1.19582,0.49842,1.15215,0.0056044,0.0056044,0.0056044
113,7355.48,0.75814,0.3652,0.8853,0.91634,0.90581,0.9348,0.60548,1.1941,0.50013,1.15417,0.0055648,0.0055648,0.0055648
114,7419.79,0.75665,0.3628,0.88533,0.91467,0.90832,0.93564,0.60247,1.1954,0.49899,1.15337,0.0055252,0.0055252,0.0055252
115,7483.92,0.75621,0.36418,0.88655,0.9152,0.90529,0.92919,0.60179,1.19147,0.50041,1.15352,0.0054856,0.0054856,0.0054856
116,7547.96,0.74559,0.36116,0.8837,0.92124,0.91107,0.93367,0.60056,1.19723,0.49919,1.15619,0.005446,0.005446,0.005446
117,7612.2,0.74459,0.36039,0.88461,0.90901,0.91234,0.93144,0.60469,1.19433,0.49551,1.15509,0.0054064,0.0054064,0.0054064
118,7676.36,0.74136,0.35865,0.88042,0.89982,0.91474,0.93134,0.60405,1.19433,0.50097,1.15746,0.0053668,0.0053668,0.0053668
119,7740.66,0.73755,0.35852,0.881,0.90039,0.91539,0.93112,0.60142,1.20211,0.50186,1.16523,0.0053272,0.0053272,0.0053272
120,7804.59,0.73708,0.35603,0.88237,0.9069,0.91106,0.93045,0.59889,1.19804,0.50018,1.16054,0.0052876,0.0052876,0.0052876
121,7868.62,0.73456,0.3561,0.87865,0.9146,0.904,0.93517,0.60263,1.20077,0.49949,1.1628,0.005248,0.005248,0.005248
122,7932.92,0.73168,0.35459,0.88089,0.91966,0.89824,0.93479,0.60173,1.1966,0.49667,1.16062,0.0052084,0.0052084,0.0052084
123,7997.24,0.72574,0.35342,0.8799,0.91051,0.90585,0.92869,0.60221,1.20165,0.49659,1.16171,0.0051688,0.0051688,0.0051688
124,8061.43,0.72319,0.3525,0.87791,0.91756,0.90076,0.93274,0.60321,1.20025,0.4957,1.16278,0.0051292,0.0051292,0.0051292
125,8126.19,0.72017,0.35006,0.87795,0.91081,0.91078,0.92919,0.60193,1.20134,0.49541,1.16501,0.0050896,0.0050896,0.0050896
126,8190.2,0.72025,0.35012,0.87689,0.91923,0.9018,0.92976,0.60075,1.1996,0.49646,1.16331,0.00505,0.00505,0.00505
127,8254.28,0.71714,0.35015,0.87673,0.91833,0.90367,0.92965,0.60046,1.2001,0.49605,1.16344,0.0050104,0.0050104,0.0050104
128,8318.45,0.70635,0.34614,0.87529,0.9154,0.90364,0.93003,0.60095,1.19969,0.49841,1.16506,0.0049708,0.0049708,0.0049708
129,8382.45,0.70463,0.34433,0.87158,0.90745,0.91045,0.93223,0.60236,1.19814,0.4966,1.16522,0.0049312,0.0049312,0.0049312
130,8446.81,0.69596,0.34168,0.87041,0.89595,0.92169,0.93146,0.60308,1.19687,0.4967,1.16425,0.0048916,0.0048916,0.0048916
131,8511.04,0.6991,0.34166,0.87258,0.91143,0.90575,0.93175,0.6023,1.19647,0.49855,1.16598,0.004852,0.004852,0.004852
132,8574.53,0.69724,0.34222,0.86964,0.90645,0.90627,0.92824,0.60127,1.19962,0.50112,1.16719,0.0048124,0.0048124,0.0048124
133,8638.41,0.69275,0.34094,0.871,0.9053,0.91448,0.93008,0.60482,1.20251,0.49858,1.16705,0.0047728,0.0047728,0.0047728
134,8702.21,0.69496,0.34021,0.87219,0.92059,0.90154,0.92861,0.60389,1.20161,0.49894,1.16749,0.0047332,0.0047332,0.0047332
135,8766.03,0.69107,0.33894,0.86918,0.90749,0.91335,0.92593,0.60161,1.20162,0.50049,1.16867,0.0046936,0.0046936,0.0046936
